Treatment,Tray,Family,FamilyMember,FamilyPhenology,ID,DOYFirstBolt,StemDiameter1,StemDiameter2,StemDiameter1Notes,DOYPlantWilt,FloweringDOY,HeightFirstFlower,FlowerDiameter1,FlowerDiameter2,FlowerDiameter3,AverageFlowerDiameter,Leaf_Images_Number,Stomata_Circled,Stomata_Counted,Stomata_Number_Image1,Stomata_Number_Image2,Stomata_Number_Image3,Stomata_Number_Average,Stomata_Density,Stomata_Length_Image1_1,Stomata_Length_Image1_2,Stomata_Length_Image1_3,Stomata_Length_Image2_1,Stomata_Length_Image2_2,Stomata_Length_Image2_3,Stomata_Length_Image3_1,Stomata_Length_Image3_2,Stomata_Length_Image3_3,Stomata_Length_Average,Fruit_Production,Fruit_Mass
Control,D,1,4,LateIntermediate,76,180,1.33,3.9,NA,NA,191,180.13,9.59,12.16,11.22,10.99,3,yes,yes,14,14,13,13.66666667,155.6132299,1.545,1.743,1.715,1.895,1.395,1.323,1.467,1.768,1.902,16.39222222,0,NA
Control,D,1,5,LateIntermediate,135,180,0.86,1.37,NA,NA,NA,NA,NA,NA,NA,NA,3,yes,yes,27,28,20,25,284.6583474,1.299,0.965,0.849,0.965,0.95,1.053,1.155,1.181,0.888,10.33888889,0,NA
Control,D,1,6,LateIntermediate,153,180,0.99,2.36,NA,NA,195,115.56,7.87,9.88,7.83,8.526666667,3,yes,yes,7,8,12,9,102.4770051,1.963,1.906,2.32,1.693,1.957,1.798,1.698,1.334,1.711,18.2,0,NA
Control,D,1,1,LateIntermediate,174,179,0.62,2.42,measured directly below cotelydon,NA,188,129.58,9.99,11.14,10.22,10.45,3,yes,yes,9,8,10,9,102.4770051,1.464,1.51,1.515,1.497,1.282,1.511,1.774,1.577,1.584,15.23777778,1,0.1423
Control,D,2,4,Late,44,183,0.95,2.74,NA,NA,189,136.72,11.27,12.39,10.07,11.24333333,3,yes,yes,7,5,6,6,68.31800337,1.979,1.852,2.115,2.195,1.84,2.116,1.946,1.85,1.613,19.45111111,1,0.2323
Control,D,2,2,Late,52,182,0.98,2.19,NA,NA,190,79.55,8.13,8.8,9.48,8.803333333,3,yes,yes,21,33,27,27,307.4310152,1.542,1.476,1.372,1.296,1.036,0.938,1.227,1.348,1.397,12.92444444,0,NA
Control,D,2,5,Late,66,183,1.49,3.7,NA,NA,188,177.74,13.53,9.85,12.51,11.96333333,3,yes,yes,6,6,8,6.666666667,75.90889263,1.769,1.641,1.928,1.645,2.06,1.555,2.033,1.524,1.839,17.77111111,1,0.2256
Control,D,2,3,Late,90,182,1.59,2.95,NA,NA,188,132.28,8.89,10.06,12.9,10.61666667,3,yes,yes,10,9,9,9.333333333,106.2724497,1.638,1.511,1.52,1.98,1.749,2.037,1.886,2.109,1.894,18.13777778,0,NA
Control,D,2,6,Late,170,185,1.15,2.99,NA,NA,198,135.71,11.13,10.14,10.02,10.43,3,yes,yes,9,8,7,8,91.09067116,1.682,1.764,1.686,1.712,1.765,1.721,1.704,1.583,1.662,16.97666667,0,NA
Control,D,2,1,Late,171,180,0.68,4.02,NA,NA,194,57.4,11.2,9.43,11.13,10.58666667,3,yes,yes,19,18,22,19.66666667,223.9312333,1.398,1.432,1.184,1.48,1.425,1.595,1.345,1.374,1.442,14.08333333,0,NA
Control,E,1,1,Early,55,179,1.51,3.13,NA,NA,186,150.52,13.33,13.56,14.19,13.69333333,3,yes,yes,11,10,9,10,113.8633389,1.745,1.665,1.625,1.783,1.941,1.566,1.699,1.843,1.822,17.43222222,1,1.1143
Control,E,1,2,Early,62,179,1.56,5.79,measured directly below cotelydon,NA,191,141.09,10.41,9.92,11.23,10.52,3,yes,yes,13,11,14,12.66666667,144.226896,1.59,1.382,1.093,1.549,1.262,1.409,1.36,1.151,1.194,13.32222222,1,0.4601
Control,E,1,3,Early,67,179,1.39,3.22,measured directly below cotelydon,NA,186,161.52,12.87,15.01,14.9,14.26,3,yes,yes,4,7,8,6.333333333,72.113448,1.969,1.635,1.53,1.74,1.847,2.186,2.119,2.249,1.823,18.99777778,1,0.9356
Control,E,1,4,Early,73,179,1.13,3.34,NA,NA,188,97.85,12.03,8.49,11.77,10.76333333,3,yes,yes,7,8,13,9.333333333,106.2724497,1.772,2.035,1.736,1.885,1.809,1.591,1.391,1.493,1.907,17.35444444,0,NA
Control,E,1,5,Early,80,179,1.73,5.05,NA,NA,187,135.46,14.39,12.06,12.24,12.89666667,3,yes,yes,8,13,12,11,125.2496728,1.572,1.551,1.551,1.634,1.546,1.444,1.492,1.373,1.453,15.12888889,1,0.1406
Control,E,1,6,Early,86,179,1.11,2.53,NA,NA,187,156.85,10.67,11.75,10.81,11.07666667,3,yes,yes,10,9,12,10.33333333,117.6587836,1.534,1.583,1.62,1.724,1.298,1.464,1.612,1.6,1.593,15.58666667,1,0.4355
Control,E,2,1,EarlyIntermediate,134,179,1.11,2.23,NA,NA,197,127.68,10.84,12.15,11.43,11.47333333,3,yes,yes,20,26,20,22,250.4993457,1.135,1.331,1.147,1.303,1.164,1.271,1.356,1.106,0.986,11.99888889,0,NA
Control,E,2,2,EarlyIntermediate,143,179,1.1,1.92,NA,NA,191,103.66,9.3,9.14,11.39,9.943333333,3,yes,yes,17,16,16,16.33333333,185.9767869,1.388,1.415,1.381,1.397,1.337,1.483,1.484,1.605,1.431,14.35666667,1,0.304
Control,E,2,3,EarlyIntermediate,148,179,0.62,2.38,measured directly below the cotelydon,NA,189,93.13,12.77,12.72,11.37,12.28666667,3,yes,yes,10,18,15,14.33333333,163.2041192,1.229,1.268,1.31,1.283,1.287,1.396,1.528,1.456,1.317,13.41555556,0,NA
Control,E,2,4,EarlyIntermediate,155,179,1.12,2.81,NA,NA,187,166.24,14.59,13.92,13.16,13.89,3,yes,yes,12,16,8,12,136.6360067,1.653,1.844,1.645,1.641,1.636,1.566,1.782,1.539,1.859,16.85,1,0.8587
